status,section,docId,in_en,in_vi,in_ja,en_title,vi_title,ja_title
MATCHED,ai-notebook,"launch-ai-notebook",Y,Y,Y,"Launch AI Notebook","Khởi chạy AI Notebook","AI Notebookの起動"
MATCHED,ai-notebook,"quick-start",Y,Y,Y,"Quick start","Hướng dẫn nhanh","クイックスタート"
MATCHED,ai-notebook,"quick-start-jp",Y,Y,Y,"Quick start","Hướng dẫn nhanh","クイックスタート"
MATCHED,ai-notebook,"shut-down-jp",Y,Y,Y,"Shut down kernel","Tắt kernel","Kernelのシャットダウン"
MATCHED,ai-notebook,"shut-down-kernel",Y,Y,Y,"Shut down kernel","Tắt kernel","Kernelのシャットダウン"
MATCHED,ai-notebook,"switch",Y,Y,Y,"Connect and switch kernel","Kết nối và chuyển kernel","Kernelの接続と切り替え"
MATCHED,ai_marketplace,"FAQ",Y,Y,Y,"FAQ","Câu hỏi thường gặp","FAQ"
MATCHED,ai_marketplace,"ai_marketplace",Y,Y,Y,"AI Marketplace","AI Marketplace","AI Marketplace"
MATCHED,ai_marketplace,"api-integration",Y,Y,Y,"API integration","Tích hợp API","API 連携"
MATCHED,ai_marketplace,"balance",Y,Y,Y,"Balance","Số dư","残高"
MATCHED,ai_marketplace,"billing",Y,Y,Y,"Billing","Thanh toán","請求"
MATCHED,ai_marketplace,"contact-us",Y,Y,Y,"Contact us","Liên hệ","お問い合わせ"
MATCHED,ai_marketplace,"deployment-lora-inference",Y,Y,Y,"Deploy LoRA inference","Triển khai LoRA inference","LoRA 推論のデプロイ"
MATCHED,ai_marketplace,"deprecated-models",Y,Y,Y,"Deprecated models","Mô hình ngừng hỗ trợ","廃止モデル"
MATCHED,ai_marketplace,"fine-tune-with-lora",Y,Y,Y,"Fine-tune with LoRA","Fine-tune với LoRA","LoRA でファインチューニング"
MATCHED,ai_marketplace,"home-page",Y,Y,Y,"Home page","Trang chủ","ホームページ"
MATCHED,ai_marketplace,"how-to-create-an-api-key",Y,Y,Y,"Create an API key","Tạo API key","API キーの作成"
MATCHED,ai_marketplace,"my-account",Y,Y,Y,"My account","Tài khoản của tôi","マイアカウント"
MATCHED,ai_marketplace,"overview",Y,Y,Y,"Overview","Tổng quan","概要"
MATCHED,ai_marketplace,"playground",Y,Y,Y,"Playground","Playground","Playground"
MATCHED,ai_marketplace,"product-information",Y,Y,Y,"Product information","Thông tin sản phẩm","製品情報"
MATCHED,ai_marketplace,"quick-start",Y,Y,Y,"Quick start","Hướng dẫn nhanh","クイックスタート"
MATCHED,ai_marketplace,"sign-in",Y,Y,Y,"Sign In","Sign In","サインイン"
MATCHED,allow-address-pair,"activity-log",Y,Y,Y,"Activity Log","Activity Log","Activity Log"
MATCHED,allow-address-pair,"allow-address-pair",Y,Y,Y,"Allow Address Pair","Allow Address Pair","Allow Address Pair"
MATCHED,allow-address-pair,"create-address-pair",Y,Y,Y,"Create an address pair","Tạo address pair","Create Address Pair"
MATCHED,allow-address-pair,"create-address-pair-on-instance-management",Y,Y,Y,"Create an address pair from Instance Management","Tạo address pair trong Instance Management","Create Address Pair on Instance Management"
MATCHED,allow-address-pair,"delete-address-pair",Y,Y,Y,"Delete an address pair","Xóa address pair","方法1: Allow Address Pair管理画面から削除する"
MATCHED,allow-address-pair,"initial-setup",Y,Y,Y,"Initial setup","Thiết lập ban đầu","初期セットアップ"
MATCHED,allow-address-pair,"question-1",Y,Y,Y,"How do I change the configuration of an existing address pair?","Làm thế nào để thay đổi cấu hình address pair đã tạo?","作成済みのAddress Pairを編集できないのはなぜですか？"
MATCHED,auto-schedule-to-on-off-instance,"attach-schedule-to-instance",Y,Y,Y,"Attach virtual machines to an instance schedule","Gắn máy ảo vào instance schedule","Instance scheduleへの仮想マシンの紐付け"
MATCHED,auto-schedule-to-on-off-instance,"auto-schedule-to-on-off-instance",Y,Y,Y,"Auto schedule to on/off instance","Auto schedule bật/tắt instance","Instanceの自動スケジュール起動/停止"
MATCHED,auto-schedule-to-on-off-instance,"create-new-instance",Y,Y,Y,"Create a new instance schedule","Tạo một instance schedule mới","新しいinstance scheduleの作成"
MATCHED,auto-schedule-to-on-off-instance,"delete-instance-schedule",Y,Y,Y,"Delete an instance schedule","Xóa một instance schedule","Instance scheduleの削除"
MATCHED,auto-schedule-to-on-off-instance,"detach-schedule-to-instance",Y,Y,Y,"Detach virtual machines from an instance schedule","Gỡ máy ảo khỏi instance schedule","Instance scheduleからの仮想マシンの解除"
MATCHED,auto-schedule-to-on-off-instance,"initial-setup",Y,Y,Y,"Initial setup","Thiết lập ban đầu","初期設定"
MATCHED,auto-schedule-to-on-off-instance,"manage-version-schedules",Y,Y,Y,"Manage instance schedules","Quản lý instance schedules","Instance scheduleの管理"
MATCHED,auto-schedule-to-on-off-instance,"use-instance-schedules-for-virtual-machines",Y,Y,Y,"Use instance schedules for virtual machines","Sử dụng instance schedule cho máy ảo","仮想マシンへのinstance scheduleの活用"
MATCHED,auto-schedule-to-on-off-instance,"view-detail-instance",Y,Y,Y,"View instance schedule details","Xem chi tiết một instance schedule","Instance scheduleの詳細確認"
MATCHED,backup,"Backup-Initial-Setup",Y,Y,Y,"Initial setup","Thiết lập ban đầu","初期設定"
MATCHED,backup,"backup",Y,Y,Y,"Backup","Sao lưu","バックアップ"
MATCHED,backup,"backup-report",Y,Y,Y,"Backup Report","Backup Report","バックアップレポート"
MATCHED,backup,"backup-volume",Y,Y,Y,"Backup Volume","1. Giới thiệu","バックアップVolume"
MATCHED,backup,"clone-vm-tu-cac-restore-point",Y,Y,Y,"Create a New VM from Restore Points","Tạo VM mới từ các Restore Point","リストアポイントから新しいVMを作成する"
MATCHED,backup,"incremental-backup-la-gi-va-loi-ich-khi-su-dung",Y,Y,Y,"What is incremental backup and what are its benefits?","Incremental backup là gì và lợi ích khi sử dụng?","増分バックアップとは何か、そのメリットは？"
MATCHED,backup,"kiem-tra-thong-tin-backup-va-restore-cua-vm",Y,Y,Y,"Check VM Backup and Restore Information","Kiểm tra thông tin backup và restore của VM.","VMのバックアップとリストア情報を確認する"
MATCHED,backup,"quan-ly-backup-job",Y,Y,Y,"Manage Backup Jobs","Quản lý Backup job","バックアップジョブの管理"
MATCHED,backup,"restore-lai-vm-tu-cac-restore-point",Y,Y,Y,"Restore a VM from Restore Points","Restore lại VM từ các Restore Point","リストアポイントからVMを復元する"
MATCHED,backup,"tai-sao-djoi-luc-toi-thay-so-luong-restore-point-tren-he-thong-nhieu-hon-so-luong-lastest-backup-to-keep-dja-khai-bao",Y,Y,Y,"Why do I sometimes see more Restore Points than the Latest Backup to Keep value I configured?","Tai Sao Djoi Luc Toi Thay So Luong Restore Point Tren He Thong Nhieu Hon So Luong Lastest Backup To Keep Dja Khai Bao","設定したLatest Backup to Keepより多くのリストアポイントが表示されるのはなぜですか？"
MATCHED,backup,"toi-duoc-ho-tro-nhung-gi-khi-thue-may-chu-va-dung-dich-vu-backup-tren-fpt-cloud",Y,Y,Y,"What support do I receive when renting a server and using the Backup service on FPT Cloud?","Tôi được hỗ trợ những gì khi thuê máy chủ và dùng dịch vụ Backup trên FPT Cloud?","FPT Cloudでサーバーをレンタルしてバックアップサービスを使用する場合、どのようなサポートが受けられますか？"
MATCHED,backup,"toi-muon-tim-hieu-ve-backup-fpt-cloud-co-chinh-sach-dung-thu-khong",Y,Y,Y,"I want to learn about Backup — does FPT Cloud have a trial policy?","Tôi muốn tìm hiểu về Backup, FPT Cloud có chính sách dùng thử không?","バックアップについて学びたいのですが、FPT Cloudにはトライアルポリシーがありますか？"
MATCHED,backup,"xem-lich-su-backup-and-recovery",Y,Y,Y,"View Backup & Recovery History","Xem lịch sử Backup & Recovery","バックアップ＆リカバリー履歴を表示する"
PARTIAL,billing,"billing",Y,Y,N,"Bills","Hóa đơn",""
MATCHED,billing,"billing-permission",Y,Y,Y,"Billing permissions","Phân quyền xem billing","billing閲覧権限の設定"
MATCHED,billing,"download-bills",Y,Y,Y,"Download detailed reconciliation file","Tải file đối soát chi tiết","詳細照合ファイルをダウンロードする"
MATCHED,billing,"fqas-2",Y,Y,Y,"How recently has the current billing period data been updated?","Với bill ở kỳ hóa đơn hiện tại, dữ liệu được cập nhật lần gần nhất là lúc nào?","現在の請求期間のデータは最後にいつ更新されましたか？"
MATCHED,billing,"fqas-3",Y,Y,Y,"Why do I have multiple reconciliation entries in the same billing period?","Vì sao tôi có nhiều đối soát trong cùng 1 kỳ hóa đơn?","同じ請求期間に複数の照合エントリがあるのはなぜですか？"
MATCHED,billing,"question-1",Y,Y,Y,"Why can't I view my bill?","Vì sao tôi không xem được Bill?","請求書が表示されないのはなぜですか？"
MATCHED,billing,"view-bill-charges-by-resource",Y,Y,Y,"View charges by resource","Xem đối soát theo tài nguyên sử dụng (Charges by resource)","リソース別の請求明細を確認する"
MATCHED,billing,"view-bill-charges-by-service",Y,Y,Y,"View charges by service","Xem đối soát theo tên dịch vụ (Charges by service)","サービス別の請求明細を確認する"
MATCHED,billing,"view-bills",Y,Y,Y,"View bills by billing period","Xem đối soát theo kỳ hóa đơn","請求期間別の請求照合を確認する"
MATCHED,budget-alert,"budget-alert",Y,Y,Y,"Budget Alert","Cảnh báo ngân sách","Budget Alert"
MATCHED,budget-alert,"delete-budget-alert",Y,Y,Y,"Delete a Budget Alert","Xóa Budget Alert","予算アラートの削除"
MATCHED,budget-alert,"edit-budget-alert",Y,Y,Y,"Edit a Budget Alert","Chỉnh sửa Budget Alert","予算アラートの編集"
MATCHED,budget-alert,"initiating-a-budget-alert",Y,Y,Y,"Create a Budget Alert","Khởi tạo Budget Alert","予算アラートの作成"
MATCHED,budget-alert,"pause-budget-alert",Y,Y,Y,"Pause a Budget Alert","Tạm dừng cảnh báo Budget Alert","予算アラートの一時停止"
MATCHED,budget-alert,"setting-budget-alert",Y,Y,Y,"Block new resource creation when budget threshold is reached","Ngăn chặn tạo resource mới khi đạt ngưỡng ngân sách","予算しきい値到達時の新規リソース作成制限"
MATCHED,budget-alert,"view-cost-information",Y,Y,Y,"View cost information and alert history","Xem thông tin chi phí và lịch sử cảnh báo","コスト情報とアラート履歴の確認"
MATCHED,budget-alert,"予算アラート",Y,Y,Y,"Budget alert","Cảnh báo ngân sách","予算アラート"
MATCHED,change-network-config,"change-network-config",Y,Y,Y,"Change network config","Thay đổi cấu hình mạng","ネットワーク設定の変更"
MATCHED,change-network-config,"change-static-IP-in-Ubuntu-server",Y,Y,Y,"Set static IP on Ubuntu Server","Đặt IP tĩnh trên Ubuntu Server","Ubuntu Serverで静的IPを設定する"
MATCHED,change-network-config,"change-static-IP-in-window-server",Y,Y,Y,"Set static IP on Windows Server","Đặt IP tĩnh trên Windows Server","Windows Serverで静的IPを設定する"
MATCHED,change-network-config,"change-statis-IP-in-CentOS",Y,Y,Y,"Set static IP on CentOS","Đặt IP tĩnh trên CentOS","CentOSで静的IPを設定する"
MATCHED,change-network-config,"initial-setup",Y,Y,Y,"Initial setup","Thiết lập ban đầu","初期設定"
MATCHED,checkpoint-fpt-ngfw,"cau-hinh-dns",Y,Y,Y,"Configure DNS","Cấu hình DNS","DNSの設定"
MATCHED,checkpoint-fpt-ngfw,"checkpoint-fpt-ngfw",Y,Y,Y,"CheckPoint - FPT NGFW","CheckPoint – FPT NGFW","Checkpoint Fpt Ngfw"
MATCHED,checkpoint-fpt-ngfw,"dieu-tra-log",Y,Y,Y,"Investigate logs","Điều tra Log","ログの調査"
PARTIAL,checkpoint-fpt-ngfw,"huong-dan-tren-gaia-portal",Y,N,Y,"Guide on Gaia Portal","","Gaia Portalでの操作ガイド"
PARTIAL,checkpoint-fpt-ngfw,"huong-dan-tren-smartconsole",Y,N,Y,"Guide on SmartConsole","","SmartConsoleでの操作ガイド"
MATCHED,checkpoint-fpt-ngfw,"install-policy",Y,Y,Y,"Install Policy","Lưu ý:","Install Policy"
MATCHED,checkpoint-fpt-ngfw,"network-interface",Y,Y,Y,"Network Interface","Network Interface","Network Interface"
MATCHED,checkpoint-fpt-ngfw,"quan-ly-account",Y,Y,Y,"Manage accounts","Quản lý Account","アカウントの管理"
MATCHED,checkpoint-fpt-ngfw,"quan-ly-blades",Y,Y,Y,"Manage Blades","Quản lý Blades","Bladesの管理"
MATCHED,checkpoint-fpt-ngfw,"static-route",Y,Y,Y,"Static Route","Static Route","Static Route"
MATCHED,checkpoint-fpt-ngfw,"tao-object",Y,Y,Y,"Create object","Tạo Object","オブジェクトの作成"
MATCHED,checkpoint-fpt-ngfw,"tao-rule-firewall",Y,Y,Y,"Create firewall rule","Tạo rule Firewall","ファイアウォールルールの作成"
MATCHED,checkpoint-fpt-ngfw,"tao-rule-nat",Y,Y,Y,"Create NAT rule","Tạo rule NAT","NATルールの作成"
MATCHED,checkpoint-fpt-ngfw,"truy-cap-gaia-portal",Y,Y,Y,"Access Gaia Portal","Truy cập Gaia Portal","Gaia Portalへのアクセス"
MATCHED,checkpoint-fpt-ngfw,"truy-cap-smartconsole",Y,Y,Y,"Access SmartConsole","Truy cập SmartConsole","SmartConsoleへのアクセス"
MATCHED,checkpoint-fpt-ngfw,"update-hotfix",Y,Y,Y,"Update Hotfix","Lưu ý: Hệ thống sẽ reboot sau khi update.","ホットフィックスの適用"
MATCHED,cloud-advisor,"cloud-advisor",Y,Y,Y,"Cloud Advisor","Cloud Advisor","Cloud Advisor"
MATCHED,cloud-advisor,"cloud-advisor-cost-optimization",Y,Y,Y,"Cost optimization issues","Các vấn đề tối ưu hóa chi phí","コスト最適化の問題"
MATCHED,cloud-advisor,"cloud-advisor-dashboard",Y,Y,Y,"Dashboard overview","Phân loại theo nhóm","ダッシュボード概要"
MATCHED,cloud-advisor,"cloud-advisor-fault-tolerance",Y,Y,Y,"Fault tolerance issues","Các vấn đề fault tolerance","フォールトトレランスの問題"
MATCHED,cloud-advisor,"cloud-advisor-introduction",Y,Y,Y,"Introduction to Cloud Advisor","Giới thiệu Cloud Advisor","Cloud Advisorの紹介"
MATCHED,cloud-advisor,"cloud-advisor-security",Y,Y,Y,"Security issues","Các vấn đề bảo mật","セキュリティの問題"
MATCHED,cloud-guard,"Initial-Setup",Y,Y,Y,"Initial setup","Thiết lập ban đầu","初期設定"
MATCHED,cloud-guard,"Overview",Y,Y,Y,"Overview","Tổng quan","概要"
MATCHED,cloud-guard,"Recipient-la-gi",Y,Y,Y,"What is a recipient?","Recipient là gì?","受信者とは？"
MATCHED,cloud-guard,"bat-tat-alert",Y,Y,Y,"Enable or disable an alert","Bật/Tắt Alert","アラートを有効化・無効化する"
MATCHED,cloud-guard,"chinh-sua-alert",Y,Y,Y,"Edit an alert","Chỉnh sửa Alert","アラートを編集する"
MATCHED,cloud-guard,"chinh-sua-recipient",Y,Y,Y,"Edit a recipient","Chỉnh sửa Recipient","受信者を編集する"
MATCHED,cloud-guard,"cloud-guard",Y,Y,Y,"FPT Cloud Guard","FPT Cloud Guard","FPT Cloud Guard"
MATCHED,cloud-guard,"khoi-tao-canh-bao-load-balancer",Y,Y,Y,"Create an alert for Load Balancer","Khởi tạo cảnh báo cho Load Balancer","Load Balancer のアラートを作成する"
MATCHED,cloud-guard,"khoi-tao-canh-bao-object-storage",Y,Y,Y,"Create an alert for Object Storage","Khởi tạo cảnh báo cho Object Storage","Object Storage のアラートを作成する"
MATCHED,cloud-guard,"khoi-tao-canh-bao-virtual-machine",Y,Y,Y,"Create an alert for Virtual Machine","Khởi tạo cảnh báo cho Virtual Machine (VM)","Virtual Machine のアラートを作成する"
MATCHED,cloud-guard,"khoi-tao-canh-bao-vpn",Y,Y,Y,"Create an alert for VPN site-to-site","Create an alert for VPN site-to-site","VPN site-to-site のアラートを作成する"
MATCHED,cloud-guard,"khoi-tao-mot-alert-moi-activity-alert",Y,Y,Y,"Create an Activity Alert","Khởi tạo một Activity Alert mới","Activity Alert を作成する"
MATCHED,cloud-guard,"khoi-tao-mot-alert-moi-threat-alert",Y,Y,Y,"Create a Threat Alert","Khởi tạo một Threat Alert mới","Threat Alert を作成する"
MATCHED,cloud-guard,"kiem-tra-trang-thai-cua-alert",Y,Y,Y,"Check alert status","Kiểm tra trạng thái của Alert","アラートのステータスを確認する"
MATCHED,cloud-guard,"recipient-teams",Y,Y,Y,"Create a recipient via Microsoft Teams","Tạo mới người nhận qua MSTeams","Microsoft Teams で受信者を作成する"
MATCHED,cloud-guard,"tao-moi-recipient",Y,Y,Y,"Create a recipient","Tạo mới Recipient","受信者を作成する"
MATCHED,cloud-guard,"xoa-alert",Y,Y,Y,"Delete an alert","Xóa Alert","アラートを削除する"
MATCHED,cloud-guard,"xoa-recipient",Y,Y,Y,"Delete a recipient","Xóa Recipient","受信者を削除する"
MATCHED,cloud-server,"FQAs",Y,Y,Y,"Frequently Asked Questions about Tokens","Câu hỏi thường gặp về Token","Token に関するよくある質問"
MATCHED,cloud-server,"GPU",Y,Y,Y,"Managing GPU with Portal Console","Quản lý GPU với Portal Console","Portal ConsoleでのGPU管理"
MATCHED,cloud-server,"Initial-Setup",Y,Y,Y,"Initial setup","Thiết lập ban đầu","初期設定"
MATCHED,cloud-server,"NIC-overview-1",Y,Y,Y,"Managing NIC (Network Interface Card)","Quản lý NIC (Network Interface Card)","NIC（ネットワークインターフェースカード）の管理"
MATCHED,cloud-server,"Quản lý Subnets",Y,Y,Y,"Subnet Management","Quản lý Subnets","Subnet管理"
MATCHED,cloud-server,"add-card-NIC- new",Y,Y,Y,"Add a new Network Interface Card","Thêm Network Interface Card mới","新しいNetwork Interface Cardを追加する"
MATCHED,cloud-server,"add-instance-instance-group",Y,Y,Y,"Add an Instance to an Instance Group","Gắn máy ảo vào Instance Group","Instance GroupへのInstanceの追加"
MATCHED,cloud-server,"allow-address-pair",Y,Y,Y,"Allow Address Pair","Allow Address Pair","Allow Address Pair"
MATCHED,cloud-server,"attach-a-network-card-to-the-virtual-machine",Y,Y,Y,"Attach a network card (NIC) to the virtual machine","Gắn thêm card mạng (NIC) vào máy ảo","仮想マシンへのNIC追加"
MATCHED,cloud-server,"attach-schedule-to-instance",Y,Y,Y,"Attach an Instance to an Instance Schedule","Gắn máy ảo vào Instance Schedule","ScheduleへのInstanceのアタッチ"
MATCHED,cloud-server,"block-storage",Y,Y,Y,"Block Storage Overview","Tổng quan Block Storage","Block Storage 概要"
MATCHED,cloud-server,"cau-hinh-o-dia-cho-may-ao-chay-windows",Y,Y,Y,"Configure a Disk on a Windows Instance","Cấu hình ổ đĩa cho máy ảo chạy Windows","Windows Instance のディスクを設定する"
MATCHED,cloud-server,"change-address-MAC",Y,Y,Y,"Change MAC address","Thay đổi địa chỉ MAC","MACアドレスを変更する"
MATCHED,cloud-server,"change-network-config",Y,Y,Y,"Change Network Config","Thay đổi Network Config","Network Configを変更する"
MATCHED,cloud-server,"clone-instance",Y,Y,Y,"Clone a virtual machine","Nhân bản máy ảo","仮想マシンのクローン"
MATCHED,cloud-server,"cloud-server",Y,Y,Y,"FPT Cloud Server overview","Tổng quan FPT Cloud Server","FPT Cloud Server overview"
MATCHED,cloud-server,"convert-card",Y,Y,Y,"Convert a card to Primary","Chuyển card thường thành card Primary","カードをPrimaryに変換する"
MATCHED,cloud-server,"create-card-NIC- Primary",Y,Y,Y,"Create a Primary NIC card","Khởi tạo card NIC Primary","Primary NICカードを作成する"
MATCHED,cloud-server,"create-instance-group",Y,Y,Y,"Create a New Instance Group","Tạo Instance Group mới","新しいInstance Groupの作成"
MATCHED,cloud-server,"create-new-instance",Y,Y,Y,"Create a New Instance Schedule","Tạo Instance Schedule mới","新しいInstance Scheduleの作成"
MATCHED,cloud-server,"create-schedule-snapshotVM",Y,Y,Y,"Create an Instance Snapshot Schedule","Tạo lịch snapshot máy ảo","インスタンスSnapshotスケジュールの作成"
MATCHED,cloud-server,"create-token",Y,Y,Y,"Create a Token","Tạo Token","Token の作成"
MATCHED,cloud-server,"create-vm-iso",Y,Y,Y,"Notes for creating VM from ISO file","Lưu ý khi tạo máy ảo từ file ISO","ISOファイルからのVM作成時の注意事項"
MATCHED,cloud-server,"createschedule-snapshotstorage",Y,Y,Y,"Create a Storage Disk Snapshot Schedule","Tạo lịch snapshot ổ đĩa","ストレージディスクSnapshotスケジュールの作成"
MATCHED,cloud-server,"custom-images-overview",Y,Y,Y,"Custom Images Overview","Tổng quan Custom Images","Custom Images 概要"
MATCHED,cloud-server,"delete-card-NIC",Y,Y,Y,"Delete Network Interface Card","Xóa Network Interface Card","Network Interface Cardを削除する"
MATCHED,cloud-server,"delete-instance-group",Y,Y,Y,"Delete an Instance Group","Xóa Instance Group","Instance Groupの削除"
MATCHED,cloud-server,"delete-instance-schedule",Y,Y,Y,"Delete an Instance Schedule","Xóa Instance Schedule","Instance Scheduleの削除"
MATCHED,cloud-server,"deleteschedule-snapshotVM",Y,Y,Y,"Delete an Instance Snapshot Schedule","Xóa lịch snapshot máy ảo","インスタンスSnapshotスケジュールの削除"
MATCHED,cloud-server,"deleteschedule-snapshotstorage",Y,Y,Y,"Delete a Storage Disk Snapshot Schedule","Xóa lịch snapshot ổ đĩa","ストレージディスクSnapshotスケジュールの削除"
MATCHED,cloud-server,"detach-schedule-to-instance",Y,Y,Y,"Detach an Instance from an Instance Schedule","Gỡ máy ảo khỏi Instance Schedule","ScheduleからのInstanceのデタッチ"
MATCHED,cloud-server,"disable-NIC-card",Y,Y,Y,"Disable Network Interface Card","Disable Network Interface Card","Network Interface Cardを無効化する"
MATCHED,cloud-server,"edit-instance-group-specific",Y,Y,Y,"Edit an Instance Group","Chỉnh sửa Instance Group","Instance Groupの編集"
MATCHED,cloud-server,"edit-ip-address",Y,Y,Y,"Edit IP Address","Chỉnh sửa IP Address","IP Addressを編集する"
MATCHED,cloud-server,"edit-storage-disk",Y,Y,Y,"Edit a Storage Disk","Chỉnh sửa Storage Disk","Storage Disk の編集"
MATCHED,cloud-server,"editschedule-snapshotVM",Y,Y,Y,"Edit an Instance Snapshot Schedule","Chỉnh sửa lịch snapshot máy ảo","インスタンスSnapshotスケジュールの編集"
MATCHED,cloud-server,"editschedule-snapshotstorage",Y,Y,Y,"Edit a Storage Disk Snapshot Schedule","Chỉnh sửa lịch snapshot ổ đĩa","ストレージディスクSnapshotスケジュールの編集"
MATCHED,cloud-server,"enable-NIC-card",Y,Y,Y,"Enable Network Interface Card","Enable Network Interface Card","Network Interface Cardを有効化する"
MATCHED,cloud-server,"gan-storage-disk-vao-may-ao",Y,Y,Y,"Attach a Storage Disk to an Instance","Gắn Storage Disk vào máy ảo","Storage Disk を Instance にアタッチする"
MATCHED,cloud-server,"gateway",Y,Y,Y,"Gateway","Gateway","Gateway"
MATCHED,cloud-server,"go-storage-disk-khoi-may-ao",Y,Y,Y,"Detach a Storage Disk from an Instance","Gỡ Storage Disk khỏi máy ảo","Storage Disk を Instance からデタッチする"
MATCHED,cloud-server,"gpu-general",Y,Y,Y,"Managing GPU with Console Portal","Quản lý GPU với Console Portal","Console PortalでのGPU管理"
MATCHED,cloud-server,"gpu-specific",Y,Y,Y,"Managing GPU for Specific Service","Quản lý GPU cho dịch vụ Specific","SpecificサービスのGPU管理"
MATCHED,cloud-server,"header-project",Y,Y,Y,"Change the Header Interface","Thay đổi giao diện header","ヘッダーインターフェースの変更"
MATCHED,cloud-server,"hpc-change-package",Y,Y,Y,"Change Machine Configuration","Đổi cấu hình máy","マシン設定の変更"
MATCHED,cloud-server,"hpc-clone-image",Y,Y,Y,"Clone Image","Clone image","Imageのクローン"
MATCHED,cloud-server,"hpc-delete-image",Y,Y,Y,"Delete Image","Xóa image","Imageの削除"
