level,label,url,parent
4,Sử dụng tính năng SSO,https://fptcloud.com/documents/sso-single-sign-on/?doc=use-sso,Hướng dẫn nhanh (Quick Starts)
2,Policy Management,https://fptcloud.com/documents/policy-management/,FPT Cloud Server
3,Overviews,,Policy Management
4,Giới thiệu,https://fptcloud.com/documents/policy-management/?doc=overview-policy,Overviews
3,Initial Setup,,Policy Management
4,Initial Setup,https://fptcloud.com/documents/policy-management/?doc=initial-setup,Initial Setup
3,Hướng dẫn nhanh (Quick Starts),,Policy Management
4,Khởi tạo nhanh Policy Management,https://fptcloud.com/documents/policy-management/?doc=create-overview-policy,Hướng dẫn nhanh (Quick Starts)
4,Áp dụng policy,https://fptcloud.com/documents/policy-management/?doc=apply-policy,Hướng dẫn nhanh (Quick Starts)
3,Hướng dẫn chi tiết (Tutorials),,Policy Management
4,Khởi tạo Policy Management,https://fptcloud.com/documents/policy-management/?doc=create-policy,Hướng dẫn chi tiết (Tutorials)
4,Edit policy,https://fptcloud.com/documents/policy-management/?doc=edit-policy,Hướng dẫn chi tiết (Tutorials)
4,Delete policy,https://fptcloud.com/documents/policy-management/?doc=delete-policy,Hướng dẫn chi tiết (Tutorials)
4,Disable policy,https://fptcloud.com/documents/policy-management/?doc=disable-policy,Hướng dẫn chi tiết (Tutorials)
4,Enable policy,https://fptcloud.com/documents/policy-management/?doc=enable-policy,Hướng dẫn chi tiết (Tutorials)
2,Global Search,https://fptcloud.com/documents/global-search/,FPT Cloud Server
3,Global Search,https://fptcloud.com/documents/global-search/?doc=global-search-phase-1,Global Search
2,FPT Cloud Portal – Pay As You Go,https://fptcloud.com/documents/fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/,FPT Cloud Server
3,"Đăng ký, đăng nhập",,FPT Cloud Portal – Pay As You Go
4,Đăng ký tài khoản trên hệ thống.,https://fptcloud.com/documents/fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/?doc=dang-ky,"Đăng ký, đăng nhập"
4,Đăng nhập,https://fptcloud.com/documents/fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/?doc=dang-nhap,"Đăng ký, đăng nhập"
3,Đăng ký thông tin cá nhân/ tổ chức,,FPT Cloud Portal – Pay As You Go
4,Chọn hình thức PAYG và xác thực số điện thoại,https://fptcloud.com/documents/fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/?doc=%20choose-the-form-of-PAYG-and-verify-the-phon-%20number,Đăng ký thông tin cá nhân/ tổ chức
4,Tạo Organization,https://fptcloud.com/documents/fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/?doc=create-organization,Đăng ký thông tin cá nhân/ tổ chức
4,Trang chủ của hệ thống Portal,https://fptcloud.com/documents/fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/?doc=home-page-portal,Đăng ký thông tin cá nhân/ tổ chức
3,Nạp tiền vào tài khoản,,FPT Cloud Portal – Pay As You Go
4,Nạp tiền thông qua gift code.,https://fptcloud.com/documents/fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/?doc=recharge-via-gift-code,Nạp tiền vào tài khoản
4,Nạp tiền thông qua VNPAY,https://fptcloud.com/documents/fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/?doc=deposit-money-via-VNPay,Nạp tiền vào tài khoản
3,Mua máy ảo,,FPT Cloud Portal – Pay As You Go
4,Mua máy ảo,https://fptcloud.com/documents/fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/?doc=buy-virtual-machines,Mua máy ảo
4,Thay đổi cấu hình máy ảo,https://fptcloud.com/documents/fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/?doc=change-virtual-machine-configuration,Mua máy ảo
3,Mua Public IP,,FPT Cloud Portal – Pay As You Go
4,Mua Public IP,https://fptcloud.com/documents/fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/?doc=buy-Public-IP,Mua Public IP
3,Mua Storage,,FPT Cloud Portal – Pay As You Go
4,Mua storage disk (ổ đĩa rời),https://fptcloud.com/documents/fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/?doc=buy-storage-disk,Mua Storage
4,Thay đổi dung lượng ổ đĩa rời,https://fptcloud.com/documents/fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/?doc=change-removable-drive-capacity,Mua Storage
3,Xem billing các dịch vụ trên hệ thống,,FPT Cloud Portal – Pay As You Go
4,Xem billing theo kỳ đối soát hàng tháng,https://fptcloud.com/documents/fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/?doc=view-billing-by-monthly-reconciliation,Xem billing các dịch vụ trên hệ thống
4,Xem transaction đã thực hiện,https://fptcloud.com/documents/fpt-cloud-portal-pay-as-you-gofpt-cloud-portal-pay-as-you-go/?doc=view-performed-transactions,Xem billing các dịch vụ trên hệ thống
2,FPT Cloud Desktop,https://fptcloud.com/documents/fpt-cloud-desktop/,FPT Cloud Server
3,Overview,,FPT Cloud Desktop
4,Giới thiệu chi tiết,https://fptcloud.com/documents/fpt-cloud-desktop/?doc=overview-fcd,Overview
3,Initial Setup,,FPT Cloud Desktop
4,Điều kiện yêu cầu,https://fptcloud.com/documents/fpt-cloud-desktop/?doc=initial-setup,Initial Setup
3,Hướng dẫn chi tiết (Tutorials),,FPT Cloud Desktop
4,Đăng nhập với tài khoản SSO (Azure),https://fptcloud.com/documents/fpt-cloud-desktop/?doc=dang-nhap-voi-tai-khoan-SSO,Hướng dẫn chi tiết (Tutorials)
5,Truy cập qua FCDClient mới,https://fptcloud.com/documents/fpt-cloud-desktop/?doc=SSO-qua-FCDClient-moi,Đăng nhập với tài khoản SSO (Azure)
5,Truy cập qua Web browser,https://fptcloud.com/documents/fpt-cloud-desktop/?doc=SSO-qua-web-browser,Đăng nhập với tài khoản SSO (Azure)
5,Truy cập qua FCDClient cũ (luồng cũ),https://fptcloud.com/documents/fpt-cloud-desktop/?doc=SSO-qua-FCDClient-cu,Đăng nhập với tài khoản SSO (Azure)
4,Đăng nhập với Account/Password,https://fptcloud.com/documents/fpt-cloud-desktop/?doc=dang-nhap-voi-account-password,Hướng dẫn chi tiết (Tutorials)
5,Truy cập qua FCDClient mới,https://fptcloud.com/documents/fpt-cloud-desktop/?doc=accountpassword-qua-FCDClient-moi,Đăng nhập với Account/Password
5,Truy cập qua Web browser,https://fptcloud.com/documents/fpt-cloud-desktop/?doc=accountpassword-qua-web-browser,Đăng nhập với Account/Password
5,Truy cập qua FCDClient cũ (luồng cũ),https://fptcloud.com/documents/fpt-cloud-desktop/?doc=accountpassword-qua-FCDClient-cu,Đăng nhập với Account/Password
3,Câu hỏi thường gặp (FAQs),,FPT Cloud Desktop
4,Câu hỏi thường gặp (FAQs),https://fptcloud.com/documents/fpt-cloud-desktop/?doc=faq,Câu hỏi thường gặp (FAQs)
2,FPT Autoscale,https://fptcloud.com/documents/fpt-autoscale/,FPT Cloud Server
3,Quản lý Profile,https://fptcloud.com/documents/fpt-autoscale/?doc=quan-ly-profile,FPT Autoscale
4,Khởi tạo Profile,https://fptcloud.com/documents/fpt-autoscale/?doc=khoi-tao-profile,Quản lý Profile
4,Đổi tên Profile,https://fptcloud.com/documents/fpt-autoscale/?doc=doi-ten-profile,Quản lý Profile
4,Xóa Profile,https://fptcloud.com/documents/fpt-autoscale/?doc=xoa-profile,Quản lý Profile
3,Quản lý Group,https://fptcloud.com/documents/fpt-autoscale/?doc=quan-ly-group,FPT Autoscale
4,Khởi tạo Group,https://fptcloud.com/documents/fpt-autoscale/?doc=khoi-tao-group,Quản lý Group
4,Giám sát Group,https://fptcloud.com/documents/fpt-autoscale/?doc=giam-sat-group,Quản lý Group
4,Thay đổi Profile cho Group,https://fptcloud.com/documents/fpt-autoscale/?doc=thay-doi-profile-cho-group,Quản lý Group
4,Scale thủ công,https://fptcloud.com/documents/fpt-autoscale/?doc=scale-thu-cong,Quản lý Group
4,Scale tự động theo lịch trình,https://fptcloud.com/documents/fpt-autoscale/?doc=scale-tu-dong-theo-lich-trinh,Quản lý Group
4,Xóa Group,https://fptcloud.com/documents/fpt-autoscale/?doc=xoa-group,Quản lý Group
3,Quản lý Policy,https://fptcloud.com/documents/fpt-autoscale/?doc=quan-ly-policy,FPT Autoscale
4,Khởi tạo Policy,https://fptcloud.com/documents/fpt-autoscale/?doc=khoi-tao-policy,Quản lý Policy
4,Attach Policy vào Group,https://fptcloud.com/documents/fpt-autoscale/?doc=attach-policy-vao-group,Quản lý Policy
4,Detach Policy khỏi Group,https://fptcloud.com/documents/fpt-autoscale/?doc=detach-policy-khoi-group,Quản lý Policy
4,Xóa Policy,https://fptcloud.com/documents/fpt-autoscale/?doc=xoa-policy,Quản lý Policy
2,Cloud Server,https://fptcloud.com/documents/cloud-server/,FPT Cloud Server
3,Initial Setup,,Cloud Server
4,Initial Setup,https://fptcloud.com/documents/cloud-server/?doc=Initial-Setup,Initial Setup
3,Hướng dẫn nhanh (Quick Starts),,Cloud Server
4,Tạo một máy ảo,https://fptcloud.com/documents/cloud-server/?doc=quick-starts-tao-mot-may-ao,Hướng dẫn nhanh (Quick Starts)
5,Lưu ý khi tạo máy ảo từ file iso,https://fptcloud.com/documents/cloud-server/?doc=create-vm-iso,Tạo một máy ảo
4,Clone instance,https://fptcloud.com/documents/cloud-server/?doc=clone-instance,Hướng dẫn nhanh (Quick Starts)
4,Tắt/Bật máy ảo,https://fptcloud.com/documents/cloud-server/?doc=quick-starts-tatbat-may-ao,Hướng dẫn nhanh (Quick Starts)
4,Khởi động lại máy ảo,https://fptcloud.com/documents/cloud-server/?doc=quick-starts-khoi-dong-lai-may-ao,Hướng dẫn nhanh (Quick Starts)
4,Lock & Unlock Instance Deletion,https://fptcloud.com/documents/cloud-server/?doc=lock-unlock-instance-deletion,Hướng dẫn nhanh (Quick Starts)
4,Xóa máy ảo,https://fptcloud.com/documents/cloud-server/?doc=quick-starts-xoa-may-ao,Hướng dẫn nhanh (Quick Starts)
3,Hướng dẫn chi tiết (Tutorials),,Cloud Server
4,Quản lý máy ảo,https://fptcloud.com/documents/cloud-server/?doc=quan-ly-may-ao,Hướng dẫn chi tiết (Tutorials)
5,Khởi tạo một máy ảo mới,https://fptcloud.com/documents/cloud-server/?doc=tutorials-khoi-tao-mot-may-ao-moi,Quản lý máy ảo
5,Kết nối vào máy ảo Windows,https://fptcloud.com/documents/cloud-server/?doc=tutorials-ket-noi-vao-may-ao-windows,Quản lý máy ảo
5,Kết nối vào máy ảo Linux,https://fptcloud.com/documents/cloud-server/?doc=tutorials-ket-noi-vao-may-ao-linux,Quản lý máy ảo
5,Gắn thêm card mạng (NIC) vào máy ảo,https://fptcloud.com/documents/cloud-server/?doc=attach-a-network-card-to-the-virtual-machine,Quản lý máy ảo
5,Gỡ card mạng (NIC) khỏi máy ảo,https://fptcloud.com/documents/cloud-server/?doc=remove-the-network-card-from-the-virtual-machine,Quản lý máy ảo
5,"Tra cứu thông tin, thông số kỹ thuật của máy ảo đã tạo",https://fptcloud.com/documents/cloud-server/?doc=tutorials-tra-cuu-thong-tin-thong-so-ky-thuat-cua-may-ao-da-tao,Quản lý máy ảo
5,"Thay đổi thông tin, cấu hình máy chủ",https://fptcloud.com/documents/cloud-server/?doc=tutorials-thay-doi-thong-tin-cau-hinh-may-chu,Quản lý máy ảo
5,Backup máy chủ với Snapshot,https://fptcloud.com/documents/cloud-server/?doc=tutorials-backup-may-chu-voi-snapshot,Quản lý máy ảo
5,Xóa máy ảo,https://fptcloud.com/documents/cloud-server/?doc=tutorials-xoa-may-ao,Quản lý máy ảo
4,Quản lý GPU với Portal Console,https://fptcloud.com/documents/cloud-server/?doc=GPU,Hướng dẫn chi tiết (Tutorials)
5,Quản lý GPU với Console Portal,https://fptcloud.com/documents/cloud-server/?doc=gpu-general,Quản lý GPU với Portal Console
5,Quản lý GPU với Console Portal áp dụng cho loại dịch vụ Specific,https://fptcloud.com/documents/cloud-server/?doc=gpu-specific,Quản lý GPU với Portal Console
4,Quản lý GPU Server với HPC Portal,https://fptcloud.com/documents/cloud-server/?doc=quan-ly-gpu-voi-hpc-portal,Hướng dẫn chi tiết (Tutorials)
5,Hướng dẫn nhanh,https://fptcloud.com/documents/cloud-server/?doc=hpc-quick-start,Quản lý GPU Server với HPC Portal
5,Đổi cấu hình máy,https://fptcloud.com/documents/cloud-server/?doc=hpc-change-package,Quản lý GPU Server với HPC Portal
5,Đặt thời gian thuê cố định,https://fptcloud.com/documents/cloud-server/?doc=hpc-fixed-rental,Quản lý GPU Server với HPC Portal
5,Sao lưu image,https://fptcloud.com/documents/cloud-server/?doc=hpc-snapshot-backup,Quản lý GPU Server với HPC Portal
5,Cố định máy vật lý,https://fptcloud.com/documents/cloud-server/?doc=hpc-hardware-fixation,Quản lý GPU Server với HPC Portal
5,Khởi động lại máy,https://fptcloud.com/documents/cloud-server/?doc=hpc-rest-machine,Quản lý GPU Server với HPC Portal
5,Đặt lịch tắt máy,https://fptcloud.com/documents/cloud-server/?doc=hpc-schedule-shutdown,Quản lý GPU Server với HPC Portal
5,Clone image,https://fptcloud.com/documents/cloud-server/?doc=hpc-clone-image,Quản lý GPU Server với HPC Portal
5,Đặt mật khẩu cấp 2,https://fptcloud.com/documents/cloud-server/?doc=hpc-level-2-password,Quản lý GPU Server với HPC Portal
5,Xoá image,https://fptcloud.com/documents/cloud-server/?doc=hpc-delete-image,Quản lý GPU Server với HPC Portal
4,Block Storage,https://fptcloud.com/documents/cloud-server/?doc=block-storage,Hướng dẫn chi tiết (Tutorials)
5,Tạo Storage Disk,https://fptcloud.com/documents/cloud-server/?doc=tao-storage-disk,Block Storage
5,Gắn Storage Disk vào máy ảo,https://fptcloud.com/documents/cloud-server/?doc=gan-storage-disk-vao-may-ao,Block Storage
5,Cấu hình ổ đĩa cho máy ảo chạy Windows,https://fptcloud.com/documents/cloud-server/?doc=cau-hinh-o-dia-cho-may-ao-chay-windows,Block Storage
5,Gỡ Storage Disk khỏi máy ảo,https://fptcloud.com/documents/cloud-server/?doc=go-storage-disk-khoi-may-ao,Block Storage
5,Edit Storage Disk,https://fptcloud.com/documents/cloud-server/?doc=edit-storage-disk,Block Storage
5,Xóa Storage Disk,https://fptcloud.com/documents/cloud-server/?doc=xoa-storage-disk,Block Storage
4,Profile SSH Key,https://fptcloud.com/documents/cloud-server/?doc=profile-ssh-key,Hướng dẫn chi tiết (Tutorials)
4,Token,https://fptcloud.com/documents/cloud-server/?doc=token,Hướng dẫn chi tiết (Tutorials)
5,Create token,https://fptcloud.com/documents/cloud-server/?doc=create-token,Token
5,Revoke token đã khởi tạo,https://fptcloud.com/documents/cloud-server/?doc=revoke-token,Token
5,FQAs,https://fptcloud.com/documents/cloud-server/?doc=FQAs,Token
4,Custom Images,,Hướng dẫn chi tiết (Tutorials)
5,Custom Images Overview,https://fptcloud.com/documents/cloud-server/?doc=custom-images-overview,Custom Images
5,Tải lên Custom Image,https://fptcloud.com/documents/cloud-server/?doc=tai-len-custom-image,Custom Images
5,Xóa Custom Image,https://fptcloud.com/documents/cloud-server/?doc=xoa-custom-image,Custom Images
4,Quản lý Instance Template,https://fptcloud.com/documents/cloud-server/?doc=tutorials-quan-ly-instance-template,Hướng dẫn chi tiết (Tutorials)
5,Khởi tạo template từ máy ảo,https://fptcloud.com/documents/cloud-server/?doc=tutorials-khoi-tao-template-tu-may-ao,Quản lý Instance Template
5,Quản lý template được tạo từ máy ảo trên trang Custom Images,https://fptcloud.com/documents/cloud-server/?doc=tutorials-quan-ly-template-duoc-tao-tu-may-ao,Quản lý Instance Template
5,Tạo instance từ template,https://fptcloud.com/documents/cloud-server/?doc=tutorials-tao-instance-tu-template,Quản lý Instance Template
5,Xóa template,https://fptcloud.com/documents/cloud-server/?doc=tutorials-xoa-template,Quản lý Instance Template
4,NAT Instance,https://fptcloud.com/documents/cloud-server/?doc=nat-instance,Hướng dẫn chi tiết (Tutorials)
4,Quản lý NIC (Network Interface Card),https://fptcloud.com/documents/cloud-server/?doc=NIC-overview-1,Hướng dẫn chi tiết (Tutorials)
5,Overview,https://fptcloud.com/documents/cloud-server/?doc=overview-nic,Quản lý NIC (Network Interface Card)
5,Khởi tạo card Network Interface Card - Primary,https://fptcloud.com/documents/cloud-server/?doc=create-card-NIC-%20Primary,Quản lý NIC (Network Interface Card)
5,Disable Network Interface Card,https://fptcloud.com/documents/cloud-server/?doc=disable-NIC-card,Quản lý NIC (Network Interface Card)
5,Enable Network Interface Card,https://fptcloud.com/documents/cloud-server/?doc=enable-NIC-card,Quản lý NIC (Network Interface Card)
5,Thêm Network Interface Card mới,https://fptcloud.com/documents/cloud-server/?doc=add-card-NIC-%20new,Quản lý NIC (Network Interface Card)
5,Chuyển card thường thành card Primary,https://fptcloud.com/documents/cloud-server/?doc=convert-card,Quản lý NIC (Network Interface Card)
5,Edit IP Address,https://fptcloud.com/documents/cloud-server/?doc=edit-ip-address,Quản lý NIC (Network Interface Card)
5,Thay đổi địa chỉ MAC,https://fptcloud.com/documents/cloud-server/?doc=change-address-MAC,Quản lý NIC (Network Interface Card)
5,Xóa Network Interface Card,https://fptcloud.com/documents/cloud-server/?doc=delete-card-NIC,Quản lý NIC (Network Interface Card)
5,Change Network Config,https://fptcloud.com/documents/cloud-server/?doc=change-network-config,Quản lý NIC (Network Interface Card)
4,Networking,https://fptcloud.com/documents/cloud-server/?doc=network-all,Hướng dẫn chi tiết (Tutorials)
5,Networking Overview,https://fptcloud.com/documents/cloud-server/?doc=networking-overview,Networking
5,Gateway,https://fptcloud.com/documents/cloud-server/?doc=gateway,Networking
5,Quản lý Floating IP,https://fptcloud.com/documents/cloud-server/?doc=quan-ly-floating-ip,Networking
5,Quản lý Subnets,https://fptcloud.com/documents/cloud-server/?doc=Qu%E1%BA%A3n%20l%C3%BD%20Subnets,Networking
5,Allow address pair,https://fptcloud.com/documents/cloud-server/?doc=allow-address-pair,Networking
4,Quản lý Security Group,https://fptcloud.com/documents/cloud-server/?doc=quan-ly-security-group,Hướng dẫn chi tiết (Tutorials)
5,Filter Security Group,https://fptcloud.com/documents/cloud-server/?doc=security-group-filter,Quản lý Security Group
5,Manage Priority Rule of Security Group,https://fptcloud.com/documents/cloud-server/?doc=security-group-priority-rule,Quản lý Security Group
4,IaC (Terraform),https://fptcloud.com/documents/cloud-server/?doc=terraform,Hướng dẫn chi tiết (Tutorials)
4,Quản lý Instance Group với chính sách Affinity & Anti-Affinity,https://fptcloud.com/documents/cloud-server/?doc=instance-group,Hướng dẫn chi tiết (Tutorials)
5,Giới thiệu,https://fptcloud.com/documents/cloud-server/?doc=overview-affinity,Quản lý Instance Group với chính sách Affinity & Anti-Affinity
5,Khởi tạo một Instance Group mới,https://fptcloud.com/documents/cloud-server/?doc=create-instance-group,Quản lý Instance Group với chính sách Affinity & Anti-Affinity
5,Chỉnh sửa Instance Group,https://fptcloud.com/documents/cloud-server/?doc=edit-instance-group-specific,Quản lý Instance Group với chính sách Affinity & Anti-Affinity
5,Gắn máy ảo vào Instance Group,https://fptcloud.com/documents/cloud-server/?doc=add-instance-instance-group,Quản lý Instance Group với chính sách Affinity & Anti-Affinity
5,Xóa một Instance Group,https://fptcloud.com/documents/cloud-server/?doc=delete-instance-group,Quản lý Instance Group với chính sách Affinity & Anti-Affinity
4,Notification Bell,https://fptcloud.com/documents/cloud-server/?doc=overview-bell,Hướng dẫn chi tiết (Tutorials)
4,Quản lý Project,https://fptcloud.com/documents/cloud-server/?doc=project-structure,Hướng dẫn chi tiết (Tutorials)
5,Quản lý Project,https://fptcloud.com/documents/cloud-server/?doc=quan-ly-project,Quản lý Project
5,Chọn Project khi tạo VPC,https://fptcloud.com/documents/cloud-server/?doc=select-project-when-creating-VPC,Quản lý Project
5,Thay đổi giao diện header,https://fptcloud.com/documents/cloud-server/?doc=header-project,Quản lý Project
4,Sử dụng dịch vụ tính tiền theo phương thức PAYG,https://fptcloud.com/documents/cloud-server/?doc=new-quota,Hướng dẫn chi tiết (Tutorials)
4,Auto schedule to on-off Instance,https://fptcloud.com/documents/cloud-server/?doc=instance-schedule,Hướng dẫn chi tiết (Tutorials)
5,Instance Schedule Overview,https://fptcloud.com/documents/cloud-server/?doc=schedule-overview,Auto schedule to on-off Instance
5,Tạo một instance schedule mới,https://fptcloud.com/documents/cloud-server/?doc=create-new-instance,Auto schedule to on-off Instance
5,Xem chi tiết một instance schedule,https://fptcloud.com/documents/cloud-server/?doc=view-detail-instance,Auto schedule to on-off Instance
5,Gắn một hoặc nhiều máy ảo vào instance schedule,https://fptcloud.com/documents/cloud-server/?doc=attach-schedule-to-instance,Auto schedule to on-off Instance
5,Gỡ một hoặc nhiều máy ảo vào instance schedule,https://fptcloud.com/documents/cloud-server/?doc=detach-schedule-to-instance,Auto schedule to on-off Instance
5,Xóa một instance schedule,https://fptcloud.com/documents/cloud-server/?doc=delete-instance-schedule,Auto schedule to on-off Instance
4,Lịch snapshot máy ảo,https://fptcloud.com/documents/cloud-server/?doc=schedule-snapshotVM,Hướng dẫn chi tiết (Tutorials)
5,Tạo lịch snapshot máy ảo,https://fptcloud.com/documents/cloud-server/?doc=create-schedule-snapshotVM,Lịch snapshot máy ảo
5,Xem chi tiết lịch snapshot máy ảo,https://fptcloud.com/documents/cloud-server/?doc=viewschedule-snapshotVM,Lịch snapshot máy ảo
5,Chỉnh sửa lịch snapshot máy ảo,https://fptcloud.com/documents/cloud-server/?doc=editschedule-snapshotVM,Lịch snapshot máy ảo
5,Xóa lịch snapshot máy ảo,https://fptcloud.com/documents/cloud-server/?doc=deleteschedule-snapshotVM,Lịch snapshot máy ảo
4,Lịch snapshot ổ đĩa,https://fptcloud.com/documents/cloud-server/?doc=schedule-snapshotstorage,Hướng dẫn chi tiết (Tutorials)
5,Tạo lịch snapshot ổ đĩa,https://fptcloud.com/documents/cloud-server/?doc=createschedule-snapshotstorage,Lịch snapshot ổ đĩa
5,Xem chi tiết lịch snapshot ổ đĩa,https://fptcloud.com/documents/cloud-server/?doc=viewschedule-snapshotstorage,Lịch snapshot ổ đĩa
5,Chỉnh sửa lịch snapshot ổ đĩa,https://fptcloud.com/documents/cloud-server/?doc=editschedule-snapshotstorage,Lịch snapshot ổ đĩa
5,Xóa lịch snapshot ổ đĩa,https://fptcloud.com/documents/cloud-server/?doc=deleteschedule-snapshotstorage,Lịch snapshot ổ đĩa
3,Các câu hỏi thường gặp (FAQs),,Cloud Server
4,Tôi có thể tùy chỉnh toàn bộ rule trong các security group không?,https://fptcloud.com/documents/cloud-server/?doc=question-2,Các câu hỏi thường gặp (FAQs)
4,Tôi có thể hiệu chỉnh các address pair đã khởi tạo không?,https://fptcloud.com/documents/cloud-server/?doc=question-1,Các câu hỏi thường gặp (FAQs)
4,Nat Instance có thể được sử dụng như 1 instance thông thường không?,https://fptcloud.com/documents/cloud-server/?doc=question-,Các câu hỏi thường gặp (FAQs)
3,Một số gợi ý mẫu (Samples),,Cloud Server
1,FPT Storage,,
2,FPT Object Storage,https://fptcloud.com/documents/object-storage/,FPT Storage
3,Initial Setup,,FPT Object Storage
4,Initial Setup,https://fptcloud.com/documents/object-storage/?doc=initial-setup,Initial Setup
3,Hướng dẫn chi tiết (Tutorials),,FPT Object Storage
4,Sử dụng Object Storage trên FPT Portal,https://fptcloud.com/documents/object-storage/?doc=tutorials-su-dung-object-storage-tren-fpt-portal,Hướng dẫn chi tiết (Tutorials)
5,Bucket,https://fptcloud.com/documents/object-storage/?doc=tutorials-bucket,Sử dụng Object Storage trên FPT Portal
5,Object,https://fptcloud.com/documents/object-storage/?doc=tutorials-object,Sử dụng Object Storage trên FPT Portal
5,Permissions,https://fptcloud.com/documents/object-storage/?doc=tutorials-permissions,Sử dụng Object Storage trên FPT Portal
5,Bucket Config,https://fptcloud.com/documents/object-storage/?doc=tutorials-bucket-config,Sử dụng Object Storage trên FPT Portal
5,Encryption,https://fptcloud.com/documents/object-storage/?doc=tutorials-encryption,Sử dụng Object Storage trên FPT Portal
4,Quản lý Access Key,https://fptcloud.com/documents/object-storage/?doc=tutorials-quan-ly-access-key-cua-object-storage-tren-fpt-portal,Hướng dẫn chi tiết (Tutorials)
4,Quản lý SubUser,https://fptcloud.com/documents/object-storage/?doc=tutorials-quan-ly-subuser,Hướng dẫn chi tiết (Tutorials)
4,Sử dụng Object Storage trên S3 Browser,https://fptcloud.com/documents/object-storage/?doc=tutorials-su-dung-object-storage-tren-s3-client,Hướng dẫn chi tiết (Tutorials)
4,Tích hợp FPT Object Storage với các S3-Client,https://fptcloud.com/documents/object-storage/?doc=tutorials-tich-hop-fpt-object-storage-voi-cac-s3-client,Hướng dẫn chi tiết (Tutorials)
4,SDK API Reference,https://fptcloud.com/documents/object-storage/?doc=SDK-API-Reference,Hướng dẫn chi tiết (Tutorials)
4,Migrate bucket data,https://fptcloud.com/documents/object-storage/?doc=migrate-bucket-data,Hướng dẫn chi tiết (Tutorials)
3,Các câu hỏi thường gặp (FAQs),,FPT Object Storage
3,Một số gợi ý mẫu (Samples),,FPT Object Storage
4,Sử dụng FPT Object Storage làm media server,https://fptcloud.com/documents/object-storage/?doc=su-dung-fpt-object-storage-lam-media-server-luu-tru-va-phan-phoi-media-file-cho-websiteweb-application,Một số gợi ý mẫu (Samples)
